"Supermarket","demand"
"Four Square BKs Torbay",1
"Four Square Botany Junction",1
"Four Square Cockle Bay",1
"Four Square Ellerslie",1
"Four Square Everglade",1
"Four Square Fair Price Henderson",1
"Four Square Glen Eden",1
"Four Square Great Eastern",1
"Four Square Hobsonville",1
"Four Square Lancaster",1
"Four Square Pakuranga Heights",1
"Fresh Collective Alberton",1
"New World Albany",2
"New World Birkenhead",2
"New World Botany",2
"New World Browns Bay",2
"New World Devonport",2
"New World Eastridge",2
"New World Green Bay",2
"New World Howick",2
"New World Long Bay",2
"New World Metro Queen St",2
"New World Milford",2
"New World Mt Roskill",2
"New World New Lynn",2
"New World Papakura",2
"New World Papatoetoe",2
"New World Remuera",2
"New World Southmall",2
"New World Stonefields",2
"New World Victoria Park",2
"Pak 'n Save Albany",5
"Pak 'n Save Botany",5
"Pak 'n Save Clendon",5
"Pak 'n Save Glen Innes",5
"Pak 'n Save Henderson",5
"Pak 'n Save Lincoln Road",5
"Pak 'n Save Mangere",5
"Pak 'n Save Manukau",5
"Pak 'n Save Mt Albert",5
"Pak 'n Save Ormiston",5
"Pak 'n Save Papakura",5
"Pak 'n Save Royal Oak",5
"Pak 'n Save Sylvia Park",5
"Pak 'n Save Wairau Road",5
"Pak 'n Save Westgate",5
